"A_beautiful_mind_script" "fight_club_script" "Remember_script" "Secret_window_script" "Seven_script" "Shutter_island_script"
"всей" 0.0267308206361935 0.00936066647945334 0 0.0183016105417277 0.0127567291746396 0.010339123242349
"вселенная" 0.0133654103180968 0 0 0 0 0
"вселенной" 0.0133654103180968 0 0 0 0 0
"всем" 0.0534616412723871 0.0468033323972667 0.0416103193592011 0.054904831625183 0.0892971042224774 0.0310173697270471
"всеми" 0 0.00936066647945334 0 0 0 0
"всему" 0.0133654103180968 0.0187213329589067 0.0104025798398003 0 0 0.010339123242349
"всех" 0.0400962309542903 0.11232799775344 0.0208051596796005 0 0.0510269166985585 0.134408602150538
"вспомни" 0 0 0 0 0.0127567291746396 0
"вставил" 0 0.00936066647945334 0 0 0 0
"встал" 0 0 0 0 0.0127567291746396 0
"встала" 0 0 0 0.0183016105417277 0 0
"встать" 0 0 0 0 0.0127567291746396 0
"встретил" 0.0133654103180968 0 0 0 0 0
"встретились" 0 0.00936066647945334 0 0 0 0
"встретимся" 0 0.00936066647945334 0 0.0183016105417277 0.0127567291746396 0
"встретиться" 0 0 0.0416103193592011 0.054904831625183 0.0127567291746396 0
"встречается" 0 0 0.0104025798398003 0 0 0
"встречались" 0 0 0.0312077395194008 0.0183016105417277 0 0.010339123242349
"встречи" 0.0267308206361935 0.00936066647945334 0.0208051596796005 0.0183016105417277 0 0
"встречной" 0 0.00936066647945334 0 0 0 0
"встречу" 0.0133654103180968 0 0.0312077395194008 0 0 0
"всю" 0.0267308206361935 0.05616399887672 0.0208051596796005 0.0366032210834553 0.0892971042224774 0.010339123242349
"вся" 0.0133654103180968 0.00936066647945334 0.0416103193592011 0 0.0127567291746396 0.0827129859387924
"всякий" 0 0 0 0.0366032210834553 0 0
"всяких" 0 0 0.0104025798398003 0 0 0.010339123242349
"всякой" 0 0 0 0 0.0127567291746396 0
"всякую" 0 0 0.0104025798398003 0 0.0127567291746396 0.010339123242349
"вторая" 0 0 0 0.0183016105417277 0 0
"вторник" 0 0.0187213329589067 0 0.0366032210834553 0.0127567291746396 0
"вторникам" 0 0.00936066647945334 0 0 0 0
"второго" 0.0133654103180968 0 0.0104025798398003 0 0 0
"второе" 0 0.0374426659178133 0 0 0.0127567291746396 0
"второй" 0 0 0 0 0.0127567291746396 0
"вход" 0 0.00936066647945334 0 0 0 0
"входить" 0.0267308206361935 0 0 0 0.0127567291746396 0
"входная" 0 0 0 0.0183016105417277 0 0
"вчера" 0.0133654103180968 0.0187213329589067 0 0.054904831625183 0.0510269166985585 0.0516956162117452
"вы" 1.09596364608393 0.664607320041187 0.447310933111412 0.567349926793558 0.497512437810945 1.34408602150538
"выбить" 0 0 0 0 0 0.010339123242349
"выбор" 0.0133654103180968 0 0 0 0.0127567291746396 0.0310173697270471
"выбора" 0.0267308206361935 0 0 0.0183016105417277 0.0255134583492792 0
"выбрал" 0 0 0 0.0183016105417277 0 0.010339123242349
"выбрасывают" 0 0.00936066647945334 0 0 0 0
"выбрать" 0 0.00936066647945334 0 0 0.0127567291746396 0.0206782464846981
"выглядеть" 0.0133654103180968 0.02808199943836 0 0 0 0
"выглядит" 0 0.0187213329589067 0.0104025798398003 0 0 0.0206782464846981
"выглядишь" 0.0133654103180968 0.00936066647945334 0 0.0183016105417277 0 0
"выгляжу" 0 0.00936066647945334 0.0104025798398003 0 0 0
"выдают" 0 0 0 0 0 0.010339123242349
"выдержать" 0 0 0 0.0183016105417277 0 0
"выживания" 0 0.00936066647945334 0 0 0 0.010339123242349
"вызвал" 0 0.00936066647945334 0 0 0 0
"вызовет" 0 0 0.0104025798398003 0 0 0
"вызывает" 0 0.00936066647945334 0 0 0 0
"вызывают" 0.0133654103180968 0.00936066647945334 0 0 0 0
"выйдет" 0 0.00936066647945334 0 0 0 0.010339123242349
"вынужден" 0.0133654103180968 0 0.0104025798398003 0 0 0
"выпуска" 0 0 0.0104025798398003 0 0 0
"выражение" 0 0 0 0.0183016105417277 0 0
"выразить" 0 0 0.0104025798398003 0 0.0127567291746396 0
